key,meta_label,detailed_label,page_confidence,image_path,question,answer,confidence,region,words,bboxes
tax_year,tax_form,1120S_p1,0.9999921321868896,debug_images\Sample1120S2023\page_1\tax_year_crop.png,What is the tax year? Locate the term 'calendar year' and return the value directly next to it.,Jan 1,0.2508254647254944,"[0, 0, 2550, 825]","['Fom1120-S', 'U.S. Income Tax Return for an S Corporation', 'OMB No. 1545-0123', 'Do not file this form unless the corporation has filed or.', '2023', 'is attaching Form 2553 to elect to be an S corporation..', 'Department of the Treasury', 'Internal Revenue Service', 'Go to www.irs.gov/Form1120s for instructions and the latest information..', 'For calendar year 2023 or tax year beginning', '2023, ending', 'Jan 1', 'Dec 31', ', 20', '23', 'A S election effective date', ' Name', 'D Employer identification number', '1/1/1970', 'sdasdfasdfsadf LLC', '123123123', 'TYPE', 'B Business activity code', 'Number, street, and room or suite no. If a P.O. box, see instructions..', 'E Date incorporated', 'OR', ' number (see instructions)', 'PRINT', '12312312 Main St', '1/1/1970', '123456', 'F Total assets (see instructions)', 'C Check if Sch. M-3 attached ', 'San Francisco, CA 94104', '$', 'G  Is the corporation electing to be an S corporation beginning with this tax year? See instructions. Yes  No', 'H', 'Check if:(1) Final return', '(2) Name change', '(3) Address change(4) Amended return', '(5)  S election termination']","[[145.0, 149.0, 487.0, 233.0], [696.0, 157.0, 1851.0, 206.0], [2080.0, 157.0, 2356.0, 191.0], [839.0, 229.0, 1708.0, 263.0], [2101.0, 242.0, 2330.0, 315.0], [837.0, 265.0, 1705.0, 304.0], [149.0, 276.0, 502.0, 315.0], [151.0, 315.0, 475.0, 348.0], [696.0, 309.0, 1851.0, 343.0], [151.0, 358.0, 906.0, 400.0], [1461.0, 355.0, 1690.0, 405.0], [1128.0, 360.0, 1225.0, 406.0], [1899.0, 366.0, 2011.0, 402.0], [2222.0, 355.0, 2299.0, 403.0], [2303.0, 364.0, 2372.0, 402.0], [149.0, 412.0, 507.0, 446.0], [728.0, 410.0, 823.0, 446.0], [1897.0, 412.0, 2377.0, 446.0], [295.0, 467.0, 430.0, 503.0], [722.0, 464.0, 1047.0, 506.0], [2061.0, 472.0, 2223.0, 500.0], [598.0, 490.0, 688.0, 529.0], [149.0, 508.0, 486.0, 547.0], [733.0, 513.0, 1623.0, 547.0], [1896.0, 508.0, 2176.0, 547.0], [595.0, 531.0, 656.0, 570.0], [186.0, 552.0, 518.0, 578.0], [598.0, 572.0, 704.0, 608.0], [722.0, 564.0, 1007.0, 603.0], [2075.0, 567.0, 2210.0, 603.0], [302.0, 610.0, 423.0, 655.0], [1894.0, 614.0, 2322.0, 647.0], [151.0, 660.0, 529.0, 694.0], [725.0, 668.0, 1124.0, 704.0], [1897.0, 665.0, 1920.0, 694.0], [151.0, 714.0, 1923.0, 750.0], [154.0, 768.0, 207.0, 797.0], [199.0, 766.0, 651.0, 799.0], [661.0, 760.0, 1012.0, 802.0], [1017.0, 763.0, 1804.0, 799.0], [1793.0, 763.0, 2207.0, 799.0]]"
business_name,tax_form,1120S_p1,0.9999921321868896,debug_images\Sample1120S2023\page_1\business_name_crop.png,What is the name? Locate the 'Name' field and return the value directly below it. It pertains to the business entity that is filing this form. The starting character of the value may be close to a box border.,sdasdfasdfsadf LLC,0.8740677237510681,"[0, 0, 2550, 825]","['Fom1120-S', 'U.S. Income Tax Return for an S Corporation', 'OMB No. 1545-0123', 'Do not file this form unless the corporation has filed or.', '2023', 'is attaching Form 2553 to elect to be an S corporation..', 'Department of the Treasury', 'Internal Revenue Service', 'Go to www.irs.gov/Form1120s for instructions and the latest information..', 'For calendar year 2023 or tax year beginning', '2023, ending', 'Jan 1', 'Dec 31', ', 20', '23', 'A S election effective date', ' Name', 'D Employer identification number', '1/1/1970', 'sdasdfasdfsadf LLC', '123123123', 'TYPE', 'B Business activity code', 'Number, street, and room or suite no. If a P.O. box, see instructions..', 'E Date incorporated', 'OR', ' number (see instructions)', 'PRINT', '12312312 Main St', '1/1/1970', '123456', 'F Total assets (see instructions)', 'C Check if Sch. M-3 attached ', 'San Francisco, CA 94104', '$', 'G  Is the corporation electing to be an S corporation beginning with this tax year? See instructions. Yes  No', 'H', 'Check if:(1) Final return', '(2) Name change', '(3) Address change(4) Amended return', '(5)  S election termination']","[[145.0, 149.0, 487.0, 233.0], [696.0, 157.0, 1851.0, 206.0], [2080.0, 157.0, 2356.0, 191.0], [839.0, 229.0, 1708.0, 263.0], [2101.0, 242.0, 2330.0, 315.0], [837.0, 265.0, 1705.0, 304.0], [149.0, 276.0, 502.0, 315.0], [151.0, 315.0, 475.0, 348.0], [696.0, 309.0, 1851.0, 343.0], [151.0, 358.0, 906.0, 400.0], [1461.0, 355.0, 1690.0, 405.0], [1128.0, 360.0, 1225.0, 406.0], [1899.0, 366.0, 2011.0, 402.0], [2222.0, 355.0, 2299.0, 403.0], [2303.0, 364.0, 2372.0, 402.0], [149.0, 412.0, 507.0, 446.0], [728.0, 410.0, 823.0, 446.0], [1897.0, 412.0, 2377.0, 446.0], [295.0, 467.0, 430.0, 503.0], [722.0, 464.0, 1047.0, 506.0], [2061.0, 472.0, 2223.0, 500.0], [598.0, 490.0, 688.0, 529.0], [149.0, 508.0, 486.0, 547.0], [733.0, 513.0, 1623.0, 547.0], [1896.0, 508.0, 2176.0, 547.0], [595.0, 531.0, 656.0, 570.0], [186.0, 552.0, 518.0, 578.0], [598.0, 572.0, 704.0, 608.0], [722.0, 564.0, 1007.0, 603.0], [2075.0, 567.0, 2210.0, 603.0], [302.0, 610.0, 423.0, 655.0], [1894.0, 614.0, 2322.0, 647.0], [151.0, 660.0, 529.0, 694.0], [725.0, 668.0, 1124.0, 704.0], [1897.0, 665.0, 1920.0, 694.0], [151.0, 714.0, 1923.0, 750.0], [154.0, 768.0, 207.0, 797.0], [199.0, 766.0, 651.0, 799.0], [661.0, 760.0, 1012.0, 802.0], [1017.0, 763.0, 1804.0, 799.0], [1793.0, 763.0, 2207.0, 799.0]]"
employer_identification_number,tax_form,1120S_p1,0.9999921321868896,debug_images\Sample1120S2023\page_1\employer_identification_number_crop.png,What is the Employer identification number?,123123123,0.9979837536811829,"[1275, 0, 2550, 825]","['n for an S Corporation.', 'OMB No. 1545-0123', 'the corporation has filed or', '2023', 'Iect to be an S corporation.', 'structions and the latest information.', ', 2023, ending', 'Dec 31', ',20', '23', 'D Employer identification number', '123123123', 'P.O. box, see instructions..', 'E Date incorporated', '1/1/1970', 'nd ZIP or foreign postal code', 'F Total assets (see instructions)', '$', 'ax year? See instructions..', 'IYesNo', 'hange(4) Amended return', '(5) S election termination']","[[7.0, 163.0, 572.0, 205.0], [808.0, 164.0, 1076.0, 191.0], [4.0, 233.0, 432.0, 261.0], [831.0, 247.0, 1045.0, 309.0], [3.0, 273.0, 428.0, 300.0], [1.0, 309.0, 574.0, 342.0], [175.0, 362.0, 409.0, 398.0], [625.0, 365.0, 733.0, 401.0], [948.0, 362.0, 1021.0, 398.0], [1043.0, 366.0, 1093.0, 398.0], [625.0, 411.0, 1101.0, 445.0], [785.0, 471.0, 948.0, 499.0], [9.0, 514.0, 347.0, 541.0], [627.0, 513.0, 898.0, 543.0], [801.0, 569.0, 932.0, 601.0], [3.0, 613.0, 381.0, 645.0], [626.0, 615.0, 1044.0, 645.0], [623.0, 665.0, 645.0, 696.0], [4.0, 718.0, 398.0, 748.0], [421.0, 718.0, 643.0, 746.0], [4.0, 765.0, 511.0, 798.0], [501.0, 765.0, 928.0, 798.0]]"
inception_date,tax_form,1120S_p1,0.9999921321868896,debug_images\Sample1120S2023\page_1\inception_date_crop.png,What was the date this entity was incorporated?,1/1/1970,0.9251644015312195,"[1275, 0, 2550, 825]","['n for an S Corporation.', 'OMB No. 1545-0123', 'the corporation has filed or', '2023', 'Iect to be an S corporation.', 'structions and the latest information.', ', 2023, ending', 'Dec 31', ',20', '23', 'D Employer identification number', '123123123', 'P.O. box, see instructions..', 'E Date incorporated', '1/1/1970', 'nd ZIP or foreign postal code', 'F Total assets (see instructions)', '$', 'ax year? See instructions..', 'IYesNo', 'hange(4) Amended return', '(5) S election termination']","[[7.0, 163.0, 572.0, 205.0], [808.0, 164.0, 1076.0, 191.0], [4.0, 233.0, 432.0, 261.0], [831.0, 247.0, 1045.0, 309.0], [3.0, 273.0, 428.0, 300.0], [1.0, 309.0, 574.0, 342.0], [175.0, 362.0, 409.0, 398.0], [625.0, 365.0, 733.0, 401.0], [948.0, 362.0, 1021.0, 398.0], [1043.0, 366.0, 1093.0, 398.0], [625.0, 411.0, 1101.0, 445.0], [785.0, 471.0, 948.0, 499.0], [9.0, 514.0, 347.0, 541.0], [627.0, 513.0, 898.0, 543.0], [801.0, 569.0, 932.0, 601.0], [3.0, 613.0, 381.0, 645.0], [626.0, 615.0, 1044.0, 645.0], [623.0, 665.0, 645.0, 696.0], [4.0, 718.0, 398.0, 748.0], [421.0, 718.0, 643.0, 746.0], [4.0, 765.0, 511.0, 798.0], [501.0, 765.0, 928.0, 798.0]]"
street_address,tax_form,1120S_p1,0.9999921321868896,debug_images\Sample1120S2023\page_1\street_address_crop.png,"What is the street number and street name of the entity?  Locate the labels 'Number, street and room' and find its value directly below this label.",123123123,0.08951085060834885,"[0, 0, 2550, 825]","['Fom1120-S', 'U.S. Income Tax Return for an S Corporation', 'OMB No. 1545-0123', 'Do not file this form unless the corporation has filed or.', '2023', 'is attaching Form 2553 to elect to be an S corporation..', 'Department of the Treasury', 'Internal Revenue Service', 'Go to www.irs.gov/Form1120s for instructions and the latest information..', 'For calendar year 2023 or tax year beginning', '2023, ending', 'Jan 1', 'Dec 31', ', 20', '23', 'A S election effective date', ' Name', 'D Employer identification number', '1/1/1970', 'sdasdfasdfsadf LLC', '123123123', 'TYPE', 'B Business activity code', 'Number, street, and room or suite no. If a P.O. box, see instructions..', 'E Date incorporated', 'OR', ' number (see instructions)', 'PRINT', '12312312 Main St', '1/1/1970', '123456', 'F Total assets (see instructions)', 'C Check if Sch. M-3 attached ', 'San Francisco, CA 94104', '$', 'G  Is the corporation electing to be an S corporation beginning with this tax year? See instructions. Yes  No', 'H', 'Check if:(1) Final return', '(2) Name change', '(3) Address change(4) Amended return', '(5)  S election termination']","[[145.0, 149.0, 487.0, 233.0], [696.0, 157.0, 1851.0, 206.0], [2080.0, 157.0, 2356.0, 191.0], [839.0, 229.0, 1708.0, 263.0], [2101.0, 242.0, 2330.0, 315.0], [837.0, 265.0, 1705.0, 304.0], [149.0, 276.0, 502.0, 315.0], [151.0, 315.0, 475.0, 348.0], [696.0, 309.0, 1851.0, 343.0], [151.0, 358.0, 906.0, 400.0], [1461.0, 355.0, 1690.0, 405.0], [1128.0, 360.0, 1225.0, 406.0], [1899.0, 366.0, 2011.0, 402.0], [2222.0, 355.0, 2299.0, 403.0], [2303.0, 364.0, 2372.0, 402.0], [149.0, 412.0, 507.0, 446.0], [728.0, 410.0, 823.0, 446.0], [1897.0, 412.0, 2377.0, 446.0], [295.0, 467.0, 430.0, 503.0], [722.0, 464.0, 1047.0, 506.0], [2061.0, 472.0, 2223.0, 500.0], [598.0, 490.0, 688.0, 529.0], [149.0, 508.0, 486.0, 547.0], [733.0, 513.0, 1623.0, 547.0], [1896.0, 508.0, 2176.0, 547.0], [595.0, 531.0, 656.0, 570.0], [186.0, 552.0, 518.0, 578.0], [598.0, 572.0, 704.0, 608.0], [722.0, 564.0, 1007.0, 603.0], [2075.0, 567.0, 2210.0, 603.0], [302.0, 610.0, 423.0, 655.0], [1894.0, 614.0, 2322.0, 647.0], [151.0, 660.0, 529.0, 694.0], [725.0, 668.0, 1124.0, 704.0], [1897.0, 665.0, 1920.0, 694.0], [151.0, 714.0, 1923.0, 750.0], [154.0, 768.0, 207.0, 797.0], [199.0, 766.0, 651.0, 799.0], [661.0, 760.0, 1012.0, 802.0], [1017.0, 763.0, 1804.0, 799.0], [1793.0, 763.0, 2207.0, 799.0]]"
city,tax_form,1120S_p1,0.9999921321868896,debug_images\Sample1120S2023\page_1\city_crop.png,"What city is this entity in? Locate the 'City or town, state or province, country and ZIP' and return the value beneath it.","San Francisco, CA 94104",0.9642733931541443,"[0, 0, 2550, 825]","['Fom1120-S', 'U.S. Income Tax Return for an S Corporation', 'OMB No. 1545-0123', 'Do not file this form unless the corporation has filed or.', '2023', 'is attaching Form 2553 to elect to be an S corporation..', 'Department of the Treasury', 'Internal Revenue Service', 'Go to www.irs.gov/Form1120s for instructions and the latest information..', 'For calendar year 2023 or tax year beginning', '2023, ending', 'Jan 1', 'Dec 31', ', 20', '23', 'A S election effective date', ' Name', 'D Employer identification number', '1/1/1970', 'sdasdfasdfsadf LLC', '123123123', 'TYPE', 'B Business activity code', 'Number, street, and room or suite no. If a P.O. box, see instructions..', 'E Date incorporated', 'OR', ' number (see instructions)', 'PRINT', '12312312 Main St', '1/1/1970', '123456', 'F Total assets (see instructions)', 'C Check if Sch. M-3 attached ', 'San Francisco, CA 94104', '$', 'G  Is the corporation electing to be an S corporation beginning with this tax year? See instructions. Yes  No', 'H', 'Check if:(1) Final return', '(2) Name change', '(3) Address change(4) Amended return', '(5)  S election termination']","[[145.0, 149.0, 487.0, 233.0], [696.0, 157.0, 1851.0, 206.0], [2080.0, 157.0, 2356.0, 191.0], [839.0, 229.0, 1708.0, 263.0], [2101.0, 242.0, 2330.0, 315.0], [837.0, 265.0, 1705.0, 304.0], [149.0, 276.0, 502.0, 315.0], [151.0, 315.0, 475.0, 348.0], [696.0, 309.0, 1851.0, 343.0], [151.0, 358.0, 906.0, 400.0], [1461.0, 355.0, 1690.0, 405.0], [1128.0, 360.0, 1225.0, 406.0], [1899.0, 366.0, 2011.0, 402.0], [2222.0, 355.0, 2299.0, 403.0], [2303.0, 364.0, 2372.0, 402.0], [149.0, 412.0, 507.0, 446.0], [728.0, 410.0, 823.0, 446.0], [1897.0, 412.0, 2377.0, 446.0], [295.0, 467.0, 430.0, 503.0], [722.0, 464.0, 1047.0, 506.0], [2061.0, 472.0, 2223.0, 500.0], [598.0, 490.0, 688.0, 529.0], [149.0, 508.0, 486.0, 547.0], [733.0, 513.0, 1623.0, 547.0], [1896.0, 508.0, 2176.0, 547.0], [595.0, 531.0, 656.0, 570.0], [186.0, 552.0, 518.0, 578.0], [598.0, 572.0, 704.0, 608.0], [722.0, 564.0, 1007.0, 603.0], [2075.0, 567.0, 2210.0, 603.0], [302.0, 610.0, 423.0, 655.0], [1894.0, 614.0, 2322.0, 647.0], [151.0, 660.0, 529.0, 694.0], [725.0, 668.0, 1124.0, 704.0], [1897.0, 665.0, 1920.0, 694.0], [151.0, 714.0, 1923.0, 750.0], [154.0, 768.0, 207.0, 797.0], [199.0, 766.0, 651.0, 799.0], [661.0, 760.0, 1012.0, 802.0], [1017.0, 763.0, 1804.0, 799.0], [1793.0, 763.0, 2207.0, 799.0]]"
state,tax_form,1120S_p1,0.9999921321868896,debug_images\Sample1120S2023\page_1\state_crop.png,"What state is this entity in? Locate the 'City or town, state or province, country and ZIP' and return the value beneath it.","San Francisco, CA 94104",0.7838679552078247,"[0, 0, 2550, 825]","['Fom1120-S', 'U.S. Income Tax Return for an S Corporation', 'OMB No. 1545-0123', 'Do not file this form unless the corporation has filed or.', '2023', 'is attaching Form 2553 to elect to be an S corporation..', 'Department of the Treasury', 'Internal Revenue Service', 'Go to www.irs.gov/Form1120s for instructions and the latest information..', 'For calendar year 2023 or tax year beginning', '2023, ending', 'Jan 1', 'Dec 31', ', 20', '23', 'A S election effective date', ' Name', 'D Employer identification number', '1/1/1970', 'sdasdfasdfsadf LLC', '123123123', 'TYPE', 'B Business activity code', 'Number, street, and room or suite no. If a P.O. box, see instructions..', 'E Date incorporated', 'OR', ' number (see instructions)', 'PRINT', '12312312 Main St', '1/1/1970', '123456', 'F Total assets (see instructions)', 'C Check if Sch. M-3 attached ', 'San Francisco, CA 94104', '$', 'G  Is the corporation electing to be an S corporation beginning with this tax year? See instructions. Yes  No', 'H', 'Check if:(1) Final return', '(2) Name change', '(3) Address change(4) Amended return', '(5)  S election termination']","[[145.0, 149.0, 487.0, 233.0], [696.0, 157.0, 1851.0, 206.0], [2080.0, 157.0, 2356.0, 191.0], [839.0, 229.0, 1708.0, 263.0], [2101.0, 242.0, 2330.0, 315.0], [837.0, 265.0, 1705.0, 304.0], [149.0, 276.0, 502.0, 315.0], [151.0, 315.0, 475.0, 348.0], [696.0, 309.0, 1851.0, 343.0], [151.0, 358.0, 906.0, 400.0], [1461.0, 355.0, 1690.0, 405.0], [1128.0, 360.0, 1225.0, 406.0], [1899.0, 366.0, 2011.0, 402.0], [2222.0, 355.0, 2299.0, 403.0], [2303.0, 364.0, 2372.0, 402.0], [149.0, 412.0, 507.0, 446.0], [728.0, 410.0, 823.0, 446.0], [1897.0, 412.0, 2377.0, 446.0], [295.0, 467.0, 430.0, 503.0], [722.0, 464.0, 1047.0, 506.0], [2061.0, 472.0, 2223.0, 500.0], [598.0, 490.0, 688.0, 529.0], [149.0, 508.0, 486.0, 547.0], [733.0, 513.0, 1623.0, 547.0], [1896.0, 508.0, 2176.0, 547.0], [595.0, 531.0, 656.0, 570.0], [186.0, 552.0, 518.0, 578.0], [598.0, 572.0, 704.0, 608.0], [722.0, 564.0, 1007.0, 603.0], [2075.0, 567.0, 2210.0, 603.0], [302.0, 610.0, 423.0, 655.0], [1894.0, 614.0, 2322.0, 647.0], [151.0, 660.0, 529.0, 694.0], [725.0, 668.0, 1124.0, 704.0], [1897.0, 665.0, 1920.0, 694.0], [151.0, 714.0, 1923.0, 750.0], [154.0, 768.0, 207.0, 797.0], [199.0, 766.0, 651.0, 799.0], [661.0, 760.0, 1012.0, 802.0], [1017.0, 763.0, 1804.0, 799.0], [1793.0, 763.0, 2207.0, 799.0]]"
